studentId,firstName,lastName,DOB,class,score,status,photoPath
1.0,Yopdw,Egml,2002-11-09,Class2,71.0,1.0,
2.0,Eagx,Xxz,2001-03-05,Class5,88.0,1.0,
3.0,Tgpeognf,Pjsj,2000-07-15,Class4,78.0,1.0,
4.0,Vle,Smv,2006-08-03,Class3,73.0,1.0,
5.0,Haqwogc,Ovx,2006-04-09,Class2,79.0,1.0,
6.0,Okpgmr,Yip,2009-11-30,Class3,94.0,1.0,
7.0,Dxcle,Xezep,2009-12-20,Class3,70.0,1.0,
8.0,Qgywu,Wqcljwax,2006-05-22,Class2,95.0,1.0,
9.0,Trme,Mtzkqai,2002-09-07,Class5,69.0,1.0,
10.0,Kvlw,Gwebzuy,2008-01-18,Class4,85.0,1.0,
11.0,Rgoajs,Snqt,2007-12-04,Class3,94.0,1.0,
12.0,Mixix,Sfa,2005-01-19,Class5,68.0,1.0,
13.0,Npp,Yivr,2005-02-15,Class4,83.0,1.0,
14.0,Jxhxszh,Brpqxgh,2001-01-04,Class4,67.0,1.0,
15.0,Atcbbk,Kttbmq,2000-03-28,Class2,86.0,1.0,
